Event Type,Date,Latitude,Longitude,Region,Zone,Woreda,Kebele,Town,Injuries,Fatalities,What Happened?,Merged,Notes
Other,4/4/2025,9.01979808,38.74586869,Addis Ababa,Addis Ababa,,,,None,None,"On April 4, 2025 Security authorities in Addis Ababa have detained 224 individuals suspected of clandestinely working for the Eritrean government. In total, 900 individuals, including those allegedly associated with the Fano militia in Amhara, the Oromo Liberation Army in Oromia, and former Tigrayan combatants loyal to the Tigray People's Liberation Front (TPLF), have been detained for posing security threats. Many of these detainees are suspected of working to destabilize the capital, with security concerns regarding infiltrations by these groups into irregular security structures meant to maintain peace and order.",Other 4/4/2025,
Grenade,4/6/2025,11.58522361,37.38814732,Amhara,Bahir Dar,,,,None,None,"On April 6, 2025, reports indicate that an explosive device, suspected to be a grenade, was detonated  in three places, near the stadium in Kebele 16, Bahir Dar. Additionally, sources suggest artillery fire has occurred in the vicinity of the Sebatamit area. The incidents were allegedly carried out by Fano forces.",Grenade 4/6/2025,
Battles,4/4/2025,12.33303797,36.30597712,Amhara,Quara area,,,,None,None,"On April 6, 2025, In North Gondar, several government forces were killed in  near the Quara area.",Battles 4/4/2025,
Battles,4/6/2025,10.73051597,39.46982307,Amhara,Sekela district,,,,None,None,"On April 6, 2025, In Sekela district, West Gojjam, Fano forces claim to have controlled Gishe Abbay town after inflicting heavy losses on government forces.",Battles 4/6/2025,
Battles,4/6/2025,11.83221718,39.60848116,Amhara,weldya area,,,,None,None,"On April 6, 2025, in Amhara Region, weldya area active fighting between ENDF and FANO militants have been reported.",Battles 4/6/2025,
Battles,4/6/2025,11.71831935,38.23339823,Amhara,Guna area,,,,None,None,"On April 6, 2025, in Amhara Region, Guna mountain fighting between ENDF and FANO militants have been reported.",Battles 4/6/2025,
Battles,4/6/2025,11.75018765,36.40579386,Amhara,Jawi area,,,,None,None,"On April 6, 2025, in Amhara Region, Jawi area intense fighting between ENDF and FANO militants have been reported.",Battles 4/6/2025,
Military Action,4/6/2025,7.537888759,40.59868002,Oromia,Oromia Region,,,,None,None,"On April 6, 2025, The Ethiopian National Defense Force (ENDF) announced that it has “killed” a man identified as Shode, described as “a close associate” of Kumsa Diriba, also known as Jaal Marroo, the leader of the Oromo Liberation Army (OLA), who the ENDF claimed participated in the Dar es Salaam peace talks as part of the group’s delegation.",Military Action 4/6/2025,
Military Action,4/6/2025,9.514669959,38.22951642,Oromia,Meta Wolkite Woreda,,,,None,None,"On April 6, 2025, the Western Command in Meta Wolkite Woreda, West Shewa Zone, reported killing 14 OLA fighters and capturing 11 others during a military operation near Muger River. Asmamaw Zerihun, Deputy Commander for Operations, stated that the offensive would continue until the OLA accepts peace efforts. Shode, a senior OLA commander responsible for operations in the Wollega zones, was reportedly killed during a security operation in the Genji area, Haro Limmu Woreda, East Wollega Zone.",Military Action 4/6/2025,
Battles,4/7/2025,12.38732151,38.17494749,Amhara,Amhara Region,,,,None,None,"On April 7, 2025, Ongoing conflict between the government and Fano militias in the Amhara Region has significantly disrupted commercial activities, causing supply chain issues and economic strain. Local traders report that transportation difficulties, supply shortages, and rising costs are severely impacting their businesses, with broader effects expected on the national economy.",Battles 4/7/2025,
 Human-Caused Disaster,4/9/2025,9.551128883,41.19188982,Somali,Beke railway,,,,None,None,"On April 9, 2025, a fire broke out on a train carrying imported goods from Djibouti to Mojo, reportedly involving two containers loaded with flammable materials. The fire accident occurred at the Beke railway station in the Somali region, one of the two containers, which were said to be carrying motor oil, was burned, while the other one was saved. The Ethio-Djibouti Railway Transport Company said that the cause of the fire is still being investigated. 26 containers were loaded on the train", Human-Caused Disaster 4/9/2025,
Military Action,4/10/2025,4.897774078,38.08732659,Oromia,West Borana Zone,,,,None,None,"On April 10, 2025, The Ethiopian National Defense Forces (ENDF) announced the arrest of leaders and members of the OLA, and a group identified as “Abbaa Torbee” in the West Borana Zone, accusing them of terrorizing civilians and targeting government officials and businesspeople. The military emphasized its continued operations against remaining armed elements rejecting peace, commending local communities for supporting counter-insurgency efforts",Military Action 4/10/2025,
Intertribal Conflict,4/10/2025,11.16280734,40.53726085,Afar,"Ada’ar Woreda, Fursi Kebele",,,,None,None,"On April 10, 2025, in Afar Region, Ada’ar Woreda, Fursi Kebele (Zone 1), incident was reported where multiple individuals were reportedly killed in border area of Oromia region that contributing further to instability in the region.",Intertribal Conflict 4/10/2025,
Battles,4/11/2025,11.84733969,38.36859179,Amhara,Gayint,,,,None,None,"On April 11, 2025, in Amhara Region, south Gondra Giyant fighting between ENDF and FANO militants have been reported.",Battles 4/11/2025,
Battles,4/11/2025,12.40146892,37.69223219,Amhara,belesa area,,,,None,None,"On April 11, 2025, in Amhara Region, central Gondra belsa Guna area fighting between ENDF and FANO militants have been reported.",Battles 4/11/2025,
Battles,4/11/2025,8.911888521,39.37262573,Amhara,"North Shewa, Balchi",,,,None,None,"On April 11, 2025, in Amhara Region, North Shewa Balchi fighting between ENDF and FANO militants have been reported.",Battles 4/11/2025,
Battles,4/11/2025,11.308042,36.32401535,Benishangul-Gumuz,pawi Ashfa,,,,None,None,"On April 11, 2025, intense fighting between ENDF and FANO militants have been reported in pawi Ashfa area. government forces used mechanized weapons like Artillery during the fight in area.",Battles 4/11/2025,
Intertribal Conflict,4/12/2025,12.22663153,41.65894469,Afar,"Resu (Zone 1) , Burka Kebele",,,,None,None,"On April 12, at approximately 10:00 AM, reports emerged of an individual being injured in a shooting incident in border areas of Oromo Special Zone of Amhara region and Awsi Resu (Zone 1) of Afar region particularly in Burka Kebele. This incident is part of ongoing intercommunal violence between the Afar and Oromo communities, which has heightened tensions in the area. The Semera–Kombolcha route remains particularly sensitive currently.",Intertribal Conflict 4/12/2025,
Other - Please Specify,4/12/2025,10.1000317,39.50869048,Oromia,North Shewa Zone,,,,None,None,"On April 12, 2025, the Oromo Liberation Army (OLA) launched 34 road attacks in the North Shewa Zone, Oromia Region, since January 2025. These ambushes have paralyzed trade and forced residents to limit travel. Businesses report mounting losses, while communities fear escalating violence.",Other - Please Specify 4/12/2025,
Power Outage,4/13/2025,11.09243382,39.70320382,Amhara,"Kombolcha, Dessie, Akasta",,,,None,None,"On April 13, 2025, approximately at 11:30 AM, Reports indicate that a power outage was reported in Kombolcha, Dessie, Akasta, and surrounding areas. The disruption followed the reported theft of structural components from a 132 kV high-voltage transmission tower. The affected tower is part of the transmission line connecting Kombolcha 2 to Kombolcha 1 Substation, a key node in the regional power grid. As a result, electricity service has reportedly been temporarily interrupted on the following lines: • 66 kV line supplying Dessie • 132 kV line supplying Akasta and Alem • 15 kV line supplying Kombolcha town.",Power Outage 4/13/2025,
Tension,4/14/2025,5.641583289,39.1016124,Oromia,Oromia Region,,,,None,None,"On April 14, 2025, Addis Standard reported on the ongoing tensions in Oromia following the death of an OLA commander. The region has witnessed a series of retaliatory attacks, raising fears of escalating violence and instability.",Tension 4/14/2025,
Battles,4/14/2025,10.79089277,35.50696599,Benishangul-Gumuz,Benishangul-Gumuz Region,,,,None,None,"On April 14, 2025, Since April 1st, six armed clashes have erupted in the Benishangul-Gumuz Region as Fano militants from neighboring Amhara targeted gold mining areas. At least 200 families have been displaced, with no access to shelter or services. Analysts say the region is becoming increasingly unstable due to cross-regional violence.",Battles 4/14/2025,
Battles,4/14/2025,10.05579925,37.74194802,Amhara,Baso leben woreada,,,,None,None,"On April 14, 2025, in Amhara Region, East Gojjam, Baso leben woreada fighting between ENDF and FANO militants have been reported.",Battles 4/14/2025,
Military Action,4/15/2025,9.844799597,36.313985,Oromia,Haro Limu Woreda,,,,None,None,"On April 15, 2025, Retaliatory attacks in the Haro Limu Woreda in the Oromia Region resulted in 29 deaths, reportedly in response to the government's killing of an OLA commander. Residents claim the violence targeted civilians, highlighting deepening insecurity and mistrust between communities and the state.",Military Action 4/15/2025,
Battles,4/15/2025,10.32973641,37.73395982,Amhara,Debre Markos,,,,None,None,"On April 15, 2025, Fano fighters clashed with federal police in Debre Markos, interrupting food aid for 3,000 families. Locals blame the violence on anger over new land taxes and federal control of regional affairs. Roads to Amhara are increasingly unsafe, deepening the humanitarian crisis and threatening peace efforts",Battles 4/15/2025,
Battles,4/15/2025,10.88413609,37.73967897,Amhara,Bibugn district,,,,None,None,"On April 15, 2025, A surprise attack in five directions by the Fano militia in Bibugn district, East Gojjam zone, Amhara region, led to the deaths of several government security personnel. The militia infiltrated Digo Tsion town from multiple directions, attacking military camps. In the aftermath, the Ethiopian National Defence Forces (ENDF) reportedly killed an unknown number of civilians in what residents described as a reprisal action. Following the attack, businesses in the town were closed, and transportation services were disrupted between Digo Tsion and neighboring districts, including the regional capital, Bahir Dar",Battles 4/15/2025,
Battles,4/15/2025,11.60922492,38.21919566,Amhara,Agona town,,,,None,None,"On April 15, 2025, at least five people were killed and 18 homes burned following a reported clash between Fano militants and government forces in Agona, a town in Este Woreda, South Gondar Zone. According to residents, the violence erupted after Fano fighters and government troops unexpectedly encountered each other on the road and exchanged gunfire. The incident reportedly occurred in Agona, which serves as a central hub for the surrounding districts of Gayint, Moja, Este, and Simada",Battles 4/15/2025,
Battles,4/16/2025,9.710274359,35.27973487,Oromia,Qiltu Kara,,,,None,None,"On April 16, 2025, Armed clashes erupted between OLA and government forces near the main road in the Kiltu Kara and Boji Bermeji Woredas, West Wollega Zone.",Battles 4/16/2025,
Battles,4/17/2025,12.39002571,37.58998734,Amhara,Gonder Zuria,,,,None,None,"On April 17, 2025,Government security forces and Fano fighters exchanged gunfire in the Guzaba area of the Gondar Zuriya Woreda, Central Gondar Zone.",Battles 4/17/2025,
Military Action,4/20/2025,11.39828842,38.51552362,Amhara,Amhara Region,,,,None,None,"On April 20, 2025, The Ethiopian National Defense Force (ENDF) stated on Sunday that it had conducted a series of significant military operations in areas affected by conflict within the Amhara and Oromia regions. The ENDF described the targets as “extremist groups” it accuses of disrupting peace and hindering national reconciliation efforts.",Military Action 4/20/2025,
Military Action,4/20/2025,9.800788554,39.36670374,Oromia,Dera District,,,,None,None,"On April 20, 2025, In the Dera District, the ENDF reported a successful operation targeting what it described as an insurgent training camp in Homo Bonaya, Tuti Kebele. Colonel Gadisa Diro, the operation’s commander, stated that his forces inflicted “significant human and material losses” on the group.",Military Action 4/20/2025,
Battles,4/20/2025,10.89401339,37.37430143,Amhara,Gojjam,,,,None,None,"On April 20, 2025, In Gojjam, another reported confrontation resulted in the deaths of over 300 fighters, including individuals identified as part of the group’s command structure.",Battles 4/20/2025,
Military Action,4/20/2025,9.804848408,37.01707297,Oromia,"Jardega Jarte Woreda, Horogudru Wollega Zone",,,,None,None,"On April 20, 2025, in western Oromia, the ENDF’s Western Command carried out what it termed a “targeted operation” in the Konancho and Baqla kebeles of the Jardega Jarte Woreda, Horogudru Wollega Zone. This operation reportedly led to the deaths of fighters linked to the group known as Shene, which some analysts also refer to as a splinter faction of the OLA. However, the identity and internal divisions of this group remain a subject of differing views.",Military Action 4/20/2025,
Battles,4/20/2025,10.97599899,37.46960318,Amhara,Bir Sheleko,,,,None,None,"On April 20, 2025, there was an exchange of fire in the ensuing moments between Fano force and the defense force at Bir Sheleko. No casualties are reported.",Battles 4/20/2025,
Battles,4/21/2025,9.833585269,39.4700439,Amhara,"Kasima, north shewa",,,,None,None,"On April 21, 2025, In Kasima, within the Baso and Werena districts of the North Shewa Zone in the Amhara region, the army announced the capture of four individuals identified as leaders and over 50 fighters. Additionally, 30 wounded combatants were reportedly taken into custody and provided with medical care. The ENDF stated that it confiscated weapons including 3 Bren guns, 5 sniper rifles, and other military-grade arms. “The army is continuing its offensive and pursuing the remaining areas where the group is strongly present,” the ENDF’s statement conveyed",Battles 4/21/2025,
Battles,4/21/2025,12.12415664,38.04951668,Amhara,"Ibnat, South Gondar",,,,None,None,"On April 21, 2025, senior Ethiopian Defense Force military intelligence officer is killed in South Gondar, Ibnat, a local Ethiopian News outlet reported on Monday citing sources from the area. The Military Intelligence head and few of his bodyguards were killed in the operation. On the side of Fano, one of them was reportedly killed in a gunshot fired by the intelligence officer.",Battles 4/21/2025,
Military Action,4/23/2025,10.87075823,38.27452849,Amhara,"Enebsie Sar Midir Woreda, East Gojjam Zone",,,,None,None,"On April 23, 2025, The Western Command of the Ethiopian National Defense Forces (ENDF) reported successful military operations in the Enabse Sar Midir Woreda, East Gojjam Zone, against what it labeled an “extremist group,” seizing weapons, communication equipment, and livestock. Similar action was also taken in the Jeju Woreda, East Arsi, targeting the OLA group, which was allegedly attempting to disrupt public peace during the holiday season. According to ENDF officials, several suspects and combat materials were captured, and operations are ongoing to stabilize the areas.",Military Action 4/23/2025,
Peaceful Protest,4/24/2025,13.49466817,39.4730618,Tigray,Mekelle City,,,,None,None,"On April 24, 2025, Reports received today indicate that a demonstration is currently underway in Mekelle, in front of the Dejen Bureau—the Office of the President of the Tigray Interim Administration. The protestors, participants in a government-backed microfinance housing initiative, are voicing strong dissatisfaction over the handling of funds they have been depositing. According to demonstrators, the contributions were intended to help them achieve homeownership through the construction of 70m² residential units, not to be misused or diverted. Protesters are demanding accountability and transparency from the authorities overseeing the scheme.",Peaceful Protest 4/24/2025,
Military Action,4/24/2025,10.03968341,38.85849552,Amhara,Merabete district,,,,None,None,"On Thursday April 24, 2025, at 8:30 Am Ethiopian government forces reportedly opened fire on a passenger’s minibus in North Shoa region of the Amhara region in Merabete district Mangate locality, Mesalemia area. A minibus reportedly carrying over 20 passengers (normal capacity is about 14 to 16 passengers) was heading to the small town when government soldiers reportedly opened fire killing over eight civilians.",Military Action 4/24/2025,
Grenade,4/27/2025,8.76847254,38.93427594,Oromia,"Bishoftu City, East Shewa Zone",,,,None,None,"On the evening of April 27, 2025, a grenade attack was reportedly carried out by an alleged OLA member at Shanan hotel and resort in Bishoftu City, East Shewa Zone. The attack allegedly resulted in an unspecified number of casualties. Additionally, around 7:45 PM, another grenade attack was reportedly carried out by an alleged OLA member at the Sebeta Police Station, located in the Burka Kora locality of Sebeta Town, Sheger City. Casualty figures from this incident remain unconfirmed. On the evening of April 27, 2025, a grenade attack was reportedly carried out by an alleged OLA member at Shanan hotel and resort in Bishoftu City, East Shewa Zone. The attack allegedly resulted in an unspecified number of casualties. Additionally, around 7:45 PM, another grenade attack was reportedly carried out by an alleged OLA member at the Sebeta Police Station, located in the Burka Kora locality of Sebeta Town, Sheger City. Casualty figures from this incident remain unconfirmed.",Grenade 4/27/2025,
Military Action,4/27/2025,10.08196869,38.99339348,Amhara,Merhabete Woreda,,,,None,None,"On April 27, 2025, Ethiopian National Defense Forces conducted a coordinated military operation in the Merhabete Woreda, North Shewa Zone, Amhara Region, dismantling armed groups and recovering stolen property, including over 30 quintals of grain and mortar equipment. Colonel Matios Madebo stated that the militants targeted schools and civilian infrastructure, aiming to disrupt societal development. In a parallel operation, West Command regiment forces defeated insurgents in the Jawi area, with Commander Dems Giru reporting the recovery of looted assets and condemnation of attacks on ambulances and civilian property",Military Action 4/27/2025,
Battles,4/28/2025,10.00359422,38.24841693,Amhara,Guhatsion Town,,,,None,None,"On April 28, 2025, an armed confrontation occurred between government security forces and Unidentified Armed Groups (UAGs) in Guhatsion Town (the main road to Gojjam), located within the Wora Jarso Woreda of the North Shoa Zone in the Oromia Region. Reports indicate that unknown UAG members lost their lives in the exchange of fire.",Battles 4/28/2025,
Tension,4/28/2025,13.49531337,39.55275891,Tigray,Tigray Region,,,,None,None,"On April 28, 2025, The Tigray People’s Liberation Front (TPLF) faction led by Debretsion Gebremichael has reiterated that it will not seek registration with the National Election Board of Ethiopia (NEBE). The faction has warned of serious repercussions if the NEBE does not restore the party's legal status as it stood before the war. The NEBE has set a deadline for the TPLF to either hold a new party congress or risk revocation of its legal status, which will expire in two weeks. Meanwhile, the faction led by Getachew Reda, former president of the Tigray Interim Regional Administration (IRA), has announced plans to form a new political party. (Tension)",Tension 4/28/2025,
Battles,4/28/2025,12.67641508,37.34849698,Amhara,Gondra zurea,,,,None,None,"On April 28,2025 new clash erupted between Fano force and ENDF force in Gondra zurea, indibna worda. Reports show an unknown number of casualties occurred from both sides.",Battles 4/28/2025,
Battles,4/28/2025,12.15324816,39.63620422,Amhara,Kobo,,,,None,None,"On April 28, 2025, in north wello, Kobo area a heavy Clash between Fano force and ENDF force. On this battle ENDF Used heavy weapons and cause unconfirmed number of civilians and burn many houses.",Battles 4/28/2025,
Military Action,5/1/2025,8.475093071,34.02531222,Gambella,Lare district,,,,None,None,"On April 30, 2025, South Sudanese forces reportedly made incursions into the Gambella region of Ethiopia and control of up to 30 kilometers deep in the Ethiopian territory is called Lare district. The head of the district administration, whose name is unspecified, was reportedly wounded seriously and taken to hospital. The sources also reported that “Ethiopian flag is lowered in the controlled area, and South Sudanese flag is raised.”",Military Action 5/1/2025,
